species,lon,lat
"Trypherus kanoi Brancucci,1983",120.98968,23.57195
"Trypherus kanoi Brancucci,1983",120.8026,24.11835
"Trypherus nakanei Brancucci,1983",121.266667,24.15
"Trypherus nakanei Brancucci,1983",120.69107,23.90308
"Trypherus nakanei Brancucci,1983",120.96918,23.966537
"Trypherus nakanei Brancucci,1983",121.16871,24.07268
"Trypherus fenchihuensis Brancucci,1983",120.7271,23.97783
"Trypherus fenchihuensis Brancucci,1983",121.471057,24.653167
"Trypherus parilis Brancucci,1983",121.789603,25.155687
"Trypherus m-signatus Pic,1919",121.46044,25.18247
"Trypherus plagiocephalus Brancucci,1983",121.71361,24.67439
"Trypherus plagiocephalus Brancucci,1983",120.810073,23.515463
"Trypherus plagiocephalus Brancucci,1983",120.29307,23.45922
"Trypherus simulator Brancucci,1983",121.547779,24.871679
"Trypherus taihorinensis Brancucci,1983",120.481588,23.607752
"Trypherus perplexus Brancucci,1983",120.90524,23.849576
"Trypherus perplexus Brancucci,1983",121.299627,24.884236
"Trypherus chujoi Brancucci,1983",120.448783,23.484608
"Trypherus ohbayashii Brancucci,1985",121.774777,24.732518
"Trypherus atratulus Brancucci,1985",137.553708,35.472712
"Trypherus atratulus Brancucci,1985",138.651146,36.856155
"Trypherus atratulus Brancucci,1985",138.184471,36.892936
"Trypherus atratulus Brancucci,1985",137.635333,36.246
"Trypherus atratulus Brancucci,1985",145.205671,44.166647
"Trypherus atratulus Brancucci,1985",140.340021,38.255339
"Trypherus atratulus Brancucci,1985",139.011478,37.905849
"Trypherus mutilatus Kiesenwetter,1879",138.665874,36.376514
"Trypherus mutilatus Kiesenwetter,1879",138.57245,35.896619
"Trypherus mutilatus Kiesenwetter,1879",136.818958,35.454473
"Trypherus makiharai Satô,1976",124.182681,24.418938
"Trypherus nankineus Pic,1913",118.803129,32.065761
"Trypherus nigrinus Brancucci,1985",139.020852,35.232994
"Trypherus nigrinus Brancucci,1985",140.445852,38.152795
"Trypherus nigrinus Brancucci,1985",139.979236,38.066114
"Trypherus nigrinus Brancucci,1985",139.243658,35.625089
"Trypherus nigrinus Brancucci,1985",139.659686,38.329001
"Trypherus nigrinus Brancucci,1985",138.769286,36.882345
"Trypherus nigrinus Brancucci,1985",137.749996,35.666519
"Trypherus nigrinus Brancucci,1985",135.551093,34.37409
"Trypherus nigrinus Brancucci,1985",138.194807,36.648428
"Trypherus nigrinus Brancucci,1985",136.50195,34.725902
"Trypherus nigrinus Brancucci,1985",136.577192,35.034933
"Trypherus nigrinus Brancucci,1985",134.19596,34.017285
"Trypherus nigrinus Brancucci,1985",132.693382,33.121143
"Trypherus nigrinus Brancucci,1985",131.240723,33.081791
"Trypherus nigrinus Brancucci,1985",138.874052,37.783167
